14337,Single,437.6875,449.2500,458.1250,467.0000,475.8750,484.7500,496.5625,508.3750,520.1875,532.0000,543.6250,555.2500,566.8750,578.5000,596.8750,615.2500,633.6250,652.0000,644.3750,636.7500,629.1250,621.5000,584.2500,547.0000
16386,Single,425.8125,420.5000,419.6250,418.7500,417.8750,417.0000,427.3125,437.6250,447.9375,458.2500,471.0000,483.7500,496.5000,509.2500,531.8125,554.3750,576.9375,599.5000,645.9375,692.3750,738.8125,785.2500,752.5000,719.7500
4101,Bidirection,103.0625,105.0000,105.5000,106.0000,106.5000,107.0000,110.9375,114.8750,118.8125,122.7500,127.1875,131.6250,136.0625,140.5000,152.1875,163.8750,175.5625,187.2500,190.1250,193.0000,195.8750,198.7500,185.8125,172.8750
1003526,Bidirection,93.8750,95.7500,98.1250,100.5000,102.8750,105.2500,112.7500,120.2500,127.7500,135.2500,140.4375,145.6250,150.8125,156.0000,161.0625,166.1250,171.1875,176.2500,175.3750,174.5000,173.6250,172.7500,162.2500,151.7500
4103,Single,28.2500,28.2500,29.3750,30.5000,31.6250,32.7500,34.0000,35.2500,36.5000,37.7500,45.2500,52.7500,60.2500,67.7500,75.1250,82.5000,89.8750,97.2500,99.5625,101.8750,104.1875,106.5000,106.5000,106.5000
1003529,Bidirection,84.1250,81.0000,82.7500,84.5000,86.2500,88.0000,93.6250,99.2500,104.8750,110.5000,113.7500,117.0000,120.2500,123.5000,124.7500,126.0000,127.2500,128.5000,134.5000,140.5000,146.5000,152.5000,144.7500,137.0000
4107,Bidirection,42.5625,45.0000,43.6250,42.2500,40.8750,39.5000,40.6875,41.8750,43.0625,44.2500,49.8750,55.5000,61.1250,66.7500,77.2500,87.7500,98.2500,108.7500,101.5000,94.2500,87.0000,79.7500,70.8750,62.0000
1011726,Bidirection,367.0000,373.0000,366.0000,359.0000,352.0000,345.0000,353.4375,361.8750,370.3125,378.7500,376.5000,374.2500,372.0000,369.7500,371.7500,373.7500,375.7500,377.7500,382.1250,386.5000,390.8750,395.2500,368.1875,341.1250
16400,Single,293.5625,303.0000,308.0625,313.1250,318.1875,323.2500,342.0000,360.7500,379.5000,398.2500,433.1250,468.0000,502.8750,537.7500,576.1875,614.6250,653.0625,691.5000,698.0625,704.6250,711.1875,717.7500,656.4375,595.1250
1011729,Bidirection,318.1875,323.7500,319.2500,314.7500,310.2500,305.7500,304.7500,303.7500,302.7500,301.7500,301.7500,301.7500,301.7500,301.7500,308.0625,314.3750,320.6875,327.0000,320.4375,313.8750,307.3125,300.7500,282.6875,264.6250
2072,Bidirection,90.7500,88.7500,89.1875,89.6250,90.0625,90.5000,93.3750,96.2500,99.1250,102.0000,107.5000,113.0000,118.5000,124.0000,130.0000,136.0000,142.0000,148.0000,156.8750,165.7500,174.6250,183.5000,168.1250,152.7500
1013787,Bidirection,202.2500,202.2500,195.0625,187.8750,180.6875,173.5000,179.9375,186.3750,192.8125,199.2500,205.3125,211.3750,217.4375,223.5000,226.1250,228.7500,231.3750,234.0000,225.4375,216.8750,208.3125,199.7500,199.7500,199.7500
6176,Single,198.2500,198.2500,198.6875,199.1250,199.5625,200.0000,206.0625,212.1250,218.1875,224.2500,231.8750,239.5000,247.1250,254.7500,267.0000,279.2500,291.5000,303.7500,300.5625,297.3750,294.1875,291.0000,291.0000,291.0000
1013794,Bidirection,123.0000,123.0000,121.0000,119.0000,117.0000,115.0000,117.0625,119.1250,121.1875,123.2500,119.8750,116.5000,113.1250,109.7500,116.6250,123.5000,130.3750,137.2500,131.6250,126.0000,120.3750,114.7500,114.7500,114.7500
1013796,Single,55.8125,55.5000,55.8750,56.2500,56.6250,57.0000,59.8125,62.6250,65.4375,68.2500,68.1250,68.0000,67.8750,67.7500,69.3750,71.0000,72.6250,74.2500,70.5000,66.7500,63.0000,59.2500,57.4375,55.6250
1011753,Single,184.2500,190.5000,191.8750,193.2500,194.6250,196.0000,204.0625,212.1250,220.1875,228.2500,235.6875,243.1250,250.5625,258.0000,263.3750,268.7500,274.1250,279.5000,267.2500,255.0000,242.7500,230.5000,223.0000,215.5000
20523,Bidirection,202.6250,209.5000,207.4375,205.3750,203.3125,201.2500,207.1875,213.1250,219.0625,225.0000,235.3750,245.7500,256.1250,266.5000,277.9375,289.3750,300.8125,312.2500,305.1875,298.1250,291.0625,284.0000,266.0625,248.1250
