2722,5.6525,11.1311,5.5872,5.7001,10.6437,9.3181,13.5111,16.8242,12.9273,8.1705,8.2956,4.8370,7.3287,4.4846,4.1934,2.7932,2.7873,7.0164,4.9106,5.9304,7.4876,4.9483,6.6177,11.6835
19585,67.7697,68.1230,67.6664,68.0750,68.5070,67.3185,68.6051,68.2567,67.5953,67.0792,68.9243,68.8840,68.6206,68.6991,67.8050,68.1809,68.5221,68.5751,68.2922,69.3940,69.4934,69.7358,68.9391,69.0636
18810,10.1685,35.2864,34.8640,12.9226,13.5659,42.7058,22.0238,41.9612,41.5478,35.2882,34.8739,35.5548,31.5683,26.2097,39.7632,41.2568,20.1511,26.6436,21.2691,40.8455,23.9466,33.5836,40.9716,36.5873
6884,17.3677,20.1153,19.9395,16.7480,13.9535,22.7256,16.7066,22.6973,20.7371,20.0358,29.1047,24.6870,24.8845,20.0623,8.3204,25.4443,3.6136,23.4759,25.6013,26.5860,22.2979,21.0173,22.3494,24.0012
6577,49.1273,16.7346,50.3044,51.2005,49.4021,35.0896,44.1646,44.7438,49.1029,51.5807,42.8049,52.7903,50.7227,47.1879,51.8226,45.6769,27.8527,51.2968,47.5709,49.1848,53.3798,36.3115,48.0510,50.8287
13703,21.6956,35.0361,30.8847,12.5302,33.1649,27.9303,14.6884,30.4153,32.1289,14.7512,7.4413,36.5371,36.8469,34.6168,18.9110,8.6281,33.3507,31.4880,29.7871,33.9562,24.8829,35.0803,36.4752,35.0203
2751,26.1037,31.9644,19.5585,18.3470,32.9578,32.1041,34.9299,28.1681,27.9439,31.3224,34.2274,33.9272,28.1902,30.6960,34.3795,30.2379,31.0409,25.9735,34.1067,32.5016,31.8329,30.6960,23.0220,32.9867
16136,38.2324,40.3129,38.9020,40.3463,40.0163,39.9450,38.6384,41.0354,39.6453,37.5445,37.5445,39.1414,39.2925,40.1111,41.6625,38.4870,39.0867,40.7226,10.5321,40.6899,39.4932,39.9193,35.8040,38.8950
8474,55.0614,54.2945,41.8711,53.9957,56.8681,55.4743,55.0309,55.0072,56.8553,56.2796,55.9628,56.0054,57.0772,57.4761,56.6870,54.0827,52.2374,55.4900,55.6881,58.3927,58.4338,59.5352,60.4516,58.6160
13342,19.1836,46.0492,25.3282,47.5766,38.0919,23.2262,43.7749,51.7447,9.6694,7.7370,43.6731,40.2621,10.0040,51.8217,46.4543,47.9796,50.4584,48.8515,47.9306,44.5429,43.3868,45.7636,47.8436,50.9461
