20537,Bidirection,1.3125,1.7500,1.8125,1.8750,1.9375,2.0000,1.5000,1.0000,0.5000,0.0000,0.5625,1.1250,1.6875,2.2500,1.8750,1.5000,1.1250,0.7500,0.5625,0.3750,0.1875,0.0000,0.0000,0.0000
4160,Bidirection,1.3750,1.2500,1.6875,2.1250,2.5625,3.0000,2.7500,2.5000,2.2500,2.0000,1.9375,1.8750,1.8125,1.7500,2.0625,2.3750,2.6875,3.0000,2.6875,2.3750,2.0625,1.7500,1.6875,1.6250
16395,Single,27.8125,27.2500,26.8750,26.5000,26.1250,25.7500,25.3125,24.8750,24.4375,24.0000,22.3750,20.7500,19.1250,17.5000,17.3750,17.2500,17.1250,17.0000,16.3125,15.6250,14.9375,14.2500,13.3125,12.3750
10308,Bidirection,0.8750,0.7500,0.8750,1.0000,1.1250,1.2500,1.5625,1.8750,2.1875,2.5000,2.1250,1.7500,1.3750,1.0000,1.1250,1.2500,1.3750,1.5000,1.4375,1.3750,1.3125,1.2500,1.0625,0.8750
1003592,Single,8.7500,8.7500,8.5625,8.3750,8.1875,8.0000,7.9375,7.8750,7.8125,7.7500,7.5000,7.2500,7.0000,6.7500,6.1875,5.6250,5.0625,4.5000,4.3125,4.1250,3.9375,3.7500,3.7500,3.7500
18506,Single,20.5625,22.0000,22.7500,23.5000,24.2500,25.0000,24.1875,23.3750,22.5625,21.7500,21.2500,20.7500,20.2500,19.7500,20.3750,21.0000,21.6250,22.2500,20.2500,18.2500,16.2500,14.2500,14.0625,13.8750
8269,Single,22.0000,22.0000,21.2500,20.5000,19.7500,19.0000,19.4375,19.8750,20.3125,20.7500,19.4375,18.1250,16.8125,15.5000,15.5625,15.6250,15.6875,15.7500,15.5000,15.2500,15.0000,14.7500,14.7500,14.7500
5816,Bidirection,1.3125,1.7500,1.5625,1.3750,1.1875,1.0000,0.8750,0.7500,0.6250,0.5000,0.6250,0.7500,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,0.8125,0.6250,0.4375,0.2500,0.2500,0.2500
1019986,Bidirection,11.0000,11.7500,10.6875,9.6250,8.5625,7.5000,8.0625,8.6250,9.1875,9.7500,9.2500,8.7500,8.2500,7.7500,7.3125,6.8750,6.4375,6.0000,6.7500,7.5000,8.2500,9.0000,8.5000,8.0000
8277,Bidirection,28.2500,28.5000,29.2500,30.0000,30.7500,31.5000,30.9375,30.3750,29.8125,29.2500,27.7500,26.2500,24.7500,23.2500,21.5625,19.8750,18.1875,16.5000,16.0000,15.5000,15.0000,14.5000,13.9375,13.3750
